delivery_id,order_id,courier_id,distance_km,estimated_delivery_minutes,pickup_time,delivered_time,delivery_status,actual_delivery_minutes
DEL-000025,ORD-000025,CUR-0106,2.8,27,2025-11-08 23:16:00,2025-11-08 23:42:00,delivered,26.0
DEL-000026,ORD-000026,CUR-0149,4.2,52,2025-10-10 09:32:00,2025-10-10 10:23:00,delivered,51.0
DEL-000027,ORD-000027,CUR-0025,8.5,74,2025-09-06 15:20:00,2025-09-06 16:45:00,delivered,85.0
DEL-000028,ORD-000028,CUR-0181,1.0,28,,,delivered,42.0
DEL-000029,ORD-000029,CUR-0115,7.4,57,2025-01-28 23:35:00,2025-01-29 00:35:00,delivered,60.0
DEL-000030,ORD-000030,CUR-0247,5.9,60,,,cancelled,
DEL-000031,ORD-000031,CUR-0068,8.5,55,2025-11-09 18:46:00,2025-11-09 19:43:00,delivered,57.0
DEL-000032,ORD-000032,CUR-0164,6.7,54,,,cancelled,
DEL-000033,ORD-000033,CUR-0003,9.2,71,2024-11-15 18:43:00,2024-11-15 19:49:00,delivered,66.0
DEL-000034,ORD-000034,CUR-0028,3.2,40,,,delivered,40.0
DEL-000035,ORD-000035,CUR-0089,5.4,64,2025-11-21 09:33:00,2025-11-21 10:37:00,delivered,64.0
DEL-000036,ORD-000036,CUR-0030,5.6,56,,,cancelled,
DEL-000037,ORD-000037,CUR-0105,8.5,58,2025-12-15 19:21:00,2025-12-15 20:42:00,delivered,81.0
DEL-000038,ORD-000038,CUR-0008,0.7,20,2025-10-13 10:06:00,2025-10-13 10:38:00,delivered,32.0
DEL-000039,ORD-000039,CUR-0110,1.3,26,2024-03-11 23:22:00,2024-03-11 23:53:00,delivered,31.0
DEL-000040,ORD-000040,CUR-0096,1.1,26,2025-11-22 17:34:00,2025-11-22 18:06:00,delivered,32.0
DEL-000041,ORD-000041,CUR-0058,0.6,32,,,cancelled,
DEL-000042,ORD-000042,CUR-0168,9.1,70,2025-02-17 18:08:00,2025-02-17 19:17:00,delivered,69.0
DEL-000043,ORD-000043,CUR-0099,2.1,34,2025-02-20 17:17:00,2025-02-20 17:50:00,delivered,33.0
DEL-000044,ORD-000044,CUR-0086,7.9,48,,,cancelled,
DEL-000045,ORD-000045,CUR-0247,2.6,43,2025-07-04 23:10:00,2025-07-04 23:51:00,delivered,41.0
DEL-000046,ORD-000046,CUR-0022,7.1,72,2025-12-11 16:35:00,2025-12-11 17:48:00,delivered,73.0
DEL-000047,ORD-000047,CUR-0241,4.9,53,,,cancelled,
DEL-000048,ORD-000048,CUR-0101,3.4,37,2025-11-28 17:12:00,2025-11-28 17:46:00,delivered,34.0
DEL-000049,ORD-000049,CUR-0239,4.6,41,2024-01-29 16:26:00,2024-01-29 17:07:00,delivered,41.0
DEL-000050,ORD-000050,CUR-0071,6.8,68,,,cancelled,
DEL-000051,ORD-000051,CUR-0217,9.4,86,2024-11-19 15:38:00,2024-11-19 17:12:00,delivered,94.0
DEL-000052,ORD-000052,CUR-0164,2.9,38,2025-12-02 22:04:00,2025-12-02 22:53:00,delivered,49.0
DEL-000053,ORD-000053,CUR-0145,2.4,24,2025-12-31 22:40:00,2025-12-31 23:07:00,delivered,27.0
DEL-000054,ORD-000054,CUR-0061,4.9,54,,,cancelled,
DEL-000055,ORD-000055,CUR-0225,3.3,43,2025-09-28 10:46:00,2025-09-28 11:30:00,delivered,259.0
DEL-000056,ORD-000056,CUR-0164,7.2,63,2024-10-02 11:57:00,2024-10-02 13:35:00,delivered,98.0
DEL-000057,ORD-000057,CUR-0202,4.4,47,2025-01-18 23:03:00,2025-01-18 23:54:00,delivered,51.0
DEL-000058,ORD-000058,CUR-0023,2.0,39,2024-09-04 22:36:00,2024-09-04 23:51:00,delivered,75.0
DEL-000059,ORD-000059,CUR-0141,7.4,61,2025-06-30 15:20:00,2025-06-30 16:24:00,delivered,64.0
DEL-000060,ORD-000060,CUR-0058,1.2,24,2024-12-30 12:07:00,2024-12-30 12:30:00,delivered,23.0
DEL-000061,ORD-000061,CUR-0136,3.5,45,2025-09-07 15:33:00,2025-09-07 16:30:00,delivered,-3.0
DEL-000062,ORD-000062,CUR-0005,5.2,57,2025-12-04 22:53:00,2025-12-05 00:24:00,delivered,91.0
DEL-000063,ORD-000063,CUR-0225,3.6,38,2025-02-19 15:50:00,2025-02-19 17:04:00,delivered,74.0
DEL-000064,ORD-000064,CUR-0022,3.8,43,,,cancelled,
DEL-000065,ORD-000065,CUR-0080,7.7,54,2025-05-17 11:57:00,2025-05-17 12:46:00,delivered,49.0
DEL-000066,ORD-000066,CUR-0187,6.0,53,2025-11-15 21:19:00,2025-11-15 22:44:00,delivered,85.0
DEL-000067,ORD-000067,CUR-0052,6.3,52,2024-10-13 09:13:00,2024-10-13 10:37:00,delivered,84.0
DEL-000068,ORD-000068,CUR-0021,1.4,40,,,delivered,35.0
DEL-000069,ORD-000069,CUR-0122,1.3,28,2025-02-07 22:54:00,2025-02-08 00:01:00,delivered,67.0
DEL-000070,ORD-000070,CUR-0211,7.8,59,2025-04-13 10:59:00,2025-04-13 12:02:00,delivered,63.0
DEL-000071,ORD-000071,CUR-0100,4.7,52,2024-11-19 20:09:00,2024-11-19 21:08:00,delivered,59.0
DEL-000072,ORD-000072,CUR-0014,8.5,67,2025-04-10 21:03:00,2025-04-10 22:17:00,delivered,74.0
DEL-000073,ORD-000073,CUR-0120,7.0,57,2025-03-07 18:22:00,2025-03-07 19:24:00,delivered,62.0
DEL-000074,ORD-000074,CUR-0246,7.9,70,2025-09-08 12:30:00,2025-09-08 13:56:00,delivered,86.0
DEL-000075,ORD-000075,CUR-0237,4.4,43,2025-09-19 14:42:00,2025-09-19 15:50:00,delivered,68.0
DEL-000076,ORD-000076,CUR-0154,2.0,39,2025-09-22 10:09:00,2025-09-22 11:12:00,delivered,63.0
DEL-000077,ORD-000077,CUR-0177,7.3,61,2025-12-11 16:59:00,2025-12-11 18:03:00,delivered,64.0
DEL-000078,ORD-000078,CUR-0153,5.1,61,2025-10-24 23:58:00,2025-10-25 01:04:00,delivered,66.0
DEL-000079,ORD-000079,CUR-0125,8.4,67,2025-12-16 10:01:00,2025-12-16 11:24:00,delivered,259.0
DEL-000080,ORD-000080,CUR-0047,3.5,39,2025-10-04 22:21:00,2025-10-04 22:55:00,delivered,34.0
DEL-000081,ORD-000081,CUR-0120,7.7,61,2025-11-18 15:04:00,2025-11-18 16:05:00,delivered,61.0
DEL-000082,ORD-000082,CUR-0050,8.3,54,2024-11-27 10:46:00,2024-11-27 11:39:00,delivered,53.0
DEL-000083,ORD-000083,CUR-0247,7.7,56,,,cancelled,
DEL-000084,ORD-000084,CUR-0172,2.2,28,2025-05-13 13:36:00,2025-05-13 14:08:00,delivered,32.0
DEL-000085,ORD-000085,CUR-0100,7.4,70,2025-08-04 09:39:00,2025-08-04 10:44:00,delivered,65.0
DEL-000086,ORD-000086,CUR-0218,7.7,61,2025-09-06 15:30:00,2025-09-06 16:59:00,delivered,89.0
DEL-000087,ORD-000087,CUR-0030,9.3,77,2025-05-02 22:49:00,2025-05-03 00:39:00,delivered,110.0
DEL-000088,ORD-000088,CUR-0003,8.0,72,2025-06-27 12:25:00,2025-06-27 14:16:00,delivered,111.0
DEL-000089,ORD-000089,CUR-0041,2.5,41,2025-07-25 00:07:00,2025-07-25 00:55:00,delivered,48.0
DEL-000090,ORD-000090,CUR-0057,3.0,42,2025-12-07 16:00:00,2025-12-07 16:50:00,delivered,50.0
DEL-000091,ORD-000091,CUR-0003,5.7,54,2025-11-26 18:28:00,2025-11-26 19:32:00,delivered,64.0
DEL-000092,ORD-000092,CUR-0004,3.2,39,2025-10-27 19:54:00,2025-10-27 20:41:00,delivered,47.0
DEL-000093,ORD-000093,CUR-0122,3.3,35,2025-12-18 17:04:00,2025-12-18 17:40:00,delivered,36.0
DEL-000094,ORD-000094,CUR-0171,7.0,67,2025-08-12 15:59:00,2025-08-12 17:04:00,delivered,65.0
DEL-000095,ORD-000095,CUR-0005,8.3,66,2025-06-21 20:52:00,2025-06-21 22:18:00,delivered,86.0
DEL-000096,ORD-000096,CUR-0126,7.9,72,2025-10-08 12:07:00,2025-10-08 13:16:00,delivered,69.0
DEL-000097,ORD-000097,CUR-0087,5.1,57,2025-11-29 17:35:00,2025-11-29 18:35:00,delivered,-3.0
DEL-000098,ORD-000098,CUR-0207,3.4,32,2025-02-18 23:13:00,2025-02-18 23:45:00,delivered,32.0
DEL-000099,ORD-000099,CUR-0093,1.4,33,2025-11-07 14:43:00,2025-11-07 15:16:00,delivered,33.0
DEL-000100,ORD-000100,CUR-0154,2.8,47,2025-12-29 23:16:00,2025-12-30 00:10:00,delivered,54.0
DEL-000101,ORD-000101,CUR-0112,4.7,47,2025-10-22 15:27:00,2025-10-22 16:13:00,delivered,46.0
DEL-000102,ORD-000102,CUR-0010,7.3,69,2025-12-30 19:43:00,2025-12-30 20:49:00,delivered,66.0
DEL-000103,ORD-000103,CUR-0119,3.7,47,2025-04-06 15:21:00,2025-04-06 16:34:00,delivered,73.0
DEL-000104,ORD-000104,CUR-0193,1.6,40,2025-03-11 20:20:00,2025-03-11 21:05:00,delivered,45.0
DEL-000105,ORD-000105,CUR-0136,2.6,30,2024-09-14 20:57:00,2024-09-14 21:44:00,delivered,47.0
DEL-000106,ORD-000106,CUR-0217,0.6,25,2024-08-03 11:34:00,2024-08-03 12:02:00,delivered,-3.0
DEL-000107,ORD-000107,CUR-0086,3.4,50,2024-12-06 16:13:00,2024-12-06 17:18:00,delivered,65.0
DEL-000108,ORD-000108,CUR-0143,2.8,45,2025-12-26 23:01:00,2025-12-26 23:43:00,delivered,42.0
DEL-000109,ORD-000109,CUR-0003,5.1,57,2025-11-30 18:34:00,2025-11-30 19:28:00,delivered,54.0
DEL-000110,ORD-000110,CUR-0214,4.5,52,2025-08-01 13:46:00,2025-08-01 14:46:00,delivered,60.0
DEL-000111,ORD-000111,CUR-0036,6.9,59,2025-03-06 10:47:00,2025-03-06 11:52:00,delivered,65.0
DEL-000112,ORD-000112,CUR-0122,3.7,39,2025-10-27 09:56:00,2025-10-27 10:43:00,delivered,47.0
DEL-000113,ORD-000113,CUR-0236,6.0,67,2025-12-12 14:46:00,2025-12-12 15:56:00,delivered,70.0
DEL-000114,ORD-000114,CUR-0200,8.9,74,2025-10-06 23:15:00,2025-10-07 00:49:00,delivered,94.0
DEL-000115,ORD-000115,CUR-0242,3.8,41,2025-07-07 23:37:00,2025-07-08 00:44:00,delivered,67.0
DEL-000116,ORD-000116,CUR-0153,8.0,62,2025-06-12 10:58:00,2025-06-12 12:00:00,delivered,62.0
DEL-000117,ORD-000117,CUR-0189,8.2,76,2025-12-18 10:12:00,2025-12-18 11:58:00,delivered,106.0
DEL-000118,ORD-000118,CUR-0128,3.4,45,2025-07-31 15:49:00,2025-07-31 16:36:00,delivered,47.0
DEL-000119,ORD-000119,CUR-0008,6.9,60,2025-06-30 14:07:00,2025-06-30 15:15:00,delivered,68.0
DEL-000120,ORD-000120,CUR-0192,2.7,35,2025-12-27 20:31:00,2025-12-27 21:28:00,delivered,57.0
DEL-000121,ORD-000121,CUR-0242,8.0,73,2025-12-19 18:01:00,2025-12-19 19:11:00,delivered,70.0
DEL-000122,ORD-000122,CUR-0228,6.3,56,2025-08-24 14:01:00,2025-08-24 15:02:00,delivered,61.0
DEL-000123,ORD-000123,CUR-0076,4.9,47,2025-08-23 16:22:00,2025-08-23 17:43:00,delivered,81.0
DEL-000124,ORD-000124,CUR-0060,1.9,36,2024-11-27 13:19:00,2024-11-27 13:58:00,delivered,39.0
DEL-000125,ORD-000125,CUR-0220,0.8,27,2025-05-03 13:17:00,2025-05-03 14:12:00,delivered,55.0
DEL-000126,ORD-000126,CUR-0204,7.8,52,2024-10-26 18:33:00,2024-10-26 19:29:00,delivered,56.0
DEL-000127,ORD-000127,CUR-0127,5.4,52,2025-11-23 11:03:00,2025-11-23 11:54:00,delivered,51.0
DEL-000128,ORD-000128,CUR-0005,8.0,54,2025-07-28 15:34:00,2025-07-28 16:35:00,delivered,61.0
DEL-000129,ORD-000129,CUR-0228,8.8,60,2025-10-23 16:08:00,2025-10-23 17:03:00,delivered,55.0
DEL-000130,ORD-000130,CUR-0106,3.6,38,2025-04-20 16:02:00,2025-04-20 16:37:00,delivered,35.0
DEL-000131,ORD-000131,CUR-0029,8.0,58,2025-06-13 22:05:00,2025-06-13 23:11:00,delivered,66.0
DEL-000132,ORD-000132,CUR-0235,8.3,66,2025-12-11 19:37:00,2025-12-11 20:41:00,delivered,64.0
DEL-000133,ORD-000133,CUR-0084,5.5,54,2025-06-28 21:36:00,2025-06-28 23:09:00,delivered,93.0
DEL-000134,ORD-000134,CUR-0084,2.8,40,2025-07-08 11:16:00,2025-07-08 11:59:00,delivered,43.0
DEL-000135,ORD-000135,CUR-0195,1.5,31,2025-10-14 16:49:00,2025-10-14 17:17:00,delivered,28.0
DEL-000136,ORD-000136,CUR-0090,4.9,42,2025-12-18 18:40:00,2025-12-18 19:20:00,delivered,40.0
DEL-000137,ORD-000137,CUR-0210,6.4,66,,,cancelled,
DEL-000138,ORD-000138,CUR-0085,4.4,48,2025-12-01 18:44:00,2025-12-01 19:37:00,delivered,53.0
DEL-000139,ORD-000139,CUR-0151,7.9,78,2025-11-04 19:09:00,2025-11-04 20:43:00,delivered,94.0
DEL-000140,ORD-000140,CUR-0112,4.9,50,2025-07-28 16:57:00,2025-07-28 17:50:00,delivered,53.0
DEL-000141,ORD-000141,CUR-0223,3.2,33,2025-06-27 22:53:00,2025-06-27 23:34:00,delivered,41.0
DEL-000142,ORD-000142,CUR-0246,0.7,24,2025-01-15 17:03:00,2025-01-15 17:31:00,delivered,28.0
DEL-000143,ORD-000143,CUR-0199,8.1,63,2025-11-26 22:19:00,2025-11-26 23:22:00,delivered,63.0
DEL-000144,ORD-000144,CUR-0139,7.9,70,2024-05-29 09:34:00,2024-05-29 11:02:00,delivered,88.0
DEL-000145,ORD-000145,CUR-0064,5.7,46,2024-07-09 20:42:00,2024-07-09 21:26:00,delivered,44.0
DEL-000146,ORD-000146,CUR-0208,2.4,30,2025-05-19 14:18:00,2025-05-19 15:02:00,delivered,44.0
DEL-000147,ORD-000147,CUR-0058,3.9,43,2025-11-03 11:58:00,2025-11-03 12:47:00,delivered,49.0
DEL-000148,ORD-000148,CUR-0175,9.4,72,,,cancelled,
DEL-000149,ORD-000149,CUR-0144,8.6,75,2025-04-16 21:05:00,2025-04-16 22:27:00,delivered,82.0
DEL-000150,ORD-000150,CUR-0218,3.1,38,2025-11-12 12:41:00,2025-11-12 13:18:00,delivered,37.0
DEL-000151,ORD-000151,CUR-0089,2.7,34,2025-08-08 22:53:00,2025-08-08 23:22:00,delivered,29.0
DEL-000152,ORD-000152,CUR-0226,5.6,47,2024-12-19 10:58:00,2024-12-19 12:00:00,delivered,62.0
DEL-000153,ORD-000153,CUR-0157,5.7,64,2024-11-10 10:43:00,2024-11-10 11:55:00,delivered,72.0
DEL-000154,ORD-000154,CUR-0103,5.9,53,2025-08-19 15:59:00,2025-08-19 15:49:00,delivered,55.0
DEL-000155,ORD-000155,CUR-0233,2.3,45,2025-11-13 12:20:00,2025-11-13 13:01:00,delivered,41.0
DEL-000156,ORD-000156,CUR-0231,0.6,25,2025-06-06 16:16:00,2025-06-06 16:57:00,delivered,41.0
DEL-000157,ORD-000157,CUR-0059,4.5,42,2024-10-09 18:21:00,2024-10-09 19:09:00,delivered,-3.0
DEL-000158,ORD-000158,CUR-0244,1.4,35,2025-07-29 23:24:00,2025-07-30 00:07:00,delivered,43.0
DEL-000159,ORD-000159,CUR-0099,3.0,41,2024-03-02 14:00:00,2024-03-02 14:40:00,delivered,40.0
DEL-000160,ORD-000160,CUR-0197,1.4,30,2025-02-10 14:25:00,2025-02-10 15:30:00,delivered,65.0
DEL-000161,ORD-000161,CUR-0232,2.6,29,2025-05-26 11:01:00,2025-05-26 11:33:00,delivered,32.0
DEL-000162,ORD-000162,CUR-0091,2.9,33,2025-10-02 09:13:00,2025-10-02 09:42:00,delivered,29.0
DEL-000163,ORD-000163,CUR-0198,6.7,58,2025-10-17 23:29:00,2025-10-18 01:00:00,delivered,91.0
DEL-000164,ORD-000164,CUR-0125,1.8,31,2025-10-10 13:15:00,2025-10-10 13:48:00,delivered,33.0
DEL-000165,ORD-000165,CUR-0096,8.8,77,2025-09-12 16:20:00,2025-09-12 17:34:00,delivered,74.0
DEL-000166,ORD-000166,CUR-0182,6.7,62,2025-12-18 11:42:00,2025-12-18 12:42:00,delivered,60.0
DEL-000167,ORD-000167,CUR-0189,7.9,71,2025-08-20 13:28:00,2025-08-20 14:54:00,delivered,86.0
DEL-000168,ORD-000168,CUR-0127,8.8,59,2025-09-29 13:19:00,2025-09-29 14:19:00,delivered,60.0
DEL-000169,ORD-000169,CUR-0143,6.2,58,2024-10-28 18:04:00,2024-10-28 19:30:00,delivered,86.0
DEL-000170,ORD-000170,CUR-0184,4.4,42,2025-08-03 11:42:00,2025-08-03 12:48:00,delivered,66.0
DEL-000171,ORD-000171,CUR-0163,5.4,57,2025-04-24 14:03:00,2025-04-24 15:00:00,delivered,-3.0
DEL-000172,ORD-000172,CUR-0044,5.0,57,2025-07-21 11:15:00,2025-07-21 12:15:00,delivered,60.0
DEL-000173,ORD-000173,CUR-0202,9.3,80,2025-04-05 14:12:00,2025-04-05 15:33:00,delivered,81.0
DEL-000174,ORD-000174,CUR-0093,2.0,33,2025-05-20 15:45:00,2025-05-20 16:15:00,delivered,30.0
DEL-000175,ORD-000175,CUR-0202,3.2,44,2025-10-07 16:37:00,2025-10-07 17:17:00,delivered,40.0
DEL-000176,ORD-000176,CUR-0194,5.8,50,2025-12-13 23:33:00,2025-12-14 00:18:00,delivered,45.0
DEL-000177,ORD-000177,CUR-0227,1.5,32,2025-09-27 12:38:00,2025-09-27 13:17:00,delivered,39.0
DEL-000178,ORD-000178,CUR-0226,9.4,72,2025-11-05 18:03:00,2025-11-05 19:14:00,delivered,71.0
DEL-000179,ORD-000179,CUR-0071,2.1,24,2025-06-20 19:51:00,2025-06-20 20:54:00,delivered,63.0
DEL-000180,ORD-000180,CUR-0101,1.3,26,2025-05-20 16:47:00,2025-05-20 17:14:00,delivered,27.0
DEL-000181,ORD-000181,CUR-0213,2.0,40,2025-10-18 14:21:00,2025-10-18 15:40:00,delivered,79.0
DEL-000182,ORD-000182,CUR-0123,8.5,68,2025-11-05 10:16:00,2025-11-05 11:36:00,delivered,80.0
DEL-000183,ORD-000183,CUR-0195,8.0,49,2025-12-31 12:06:00,2025-12-31 13:28:00,delivered,82.0
DEL-000184,ORD-000184,CUR-0042,1.3,28,2025-06-17 18:32:00,2025-06-17 18:57:00,delivered,25.0
DEL-000185,ORD-000185,CUR-0178,3.2,46,2025-08-07 20:04:00,2025-08-07 19:54:00,delivered,41.0
DEL-000186,ORD-000186,CUR-0083,0.9,21,2025-05-16 17:54:00,2025-05-16 18:10:00,delivered,16.0
DEL-000187,ORD-000187,CUR-0015,4.1,49,2025-11-16 18:25:00,2025-11-16 19:22:00,delivered,57.0
DEL-000188,ORD-000188,CUR-0073,4.8,58,,,cancelled,
DEL-000189,ORD-000189,CUR-0052,2.5,40,2025-12-24 12:58:00,2025-12-24 13:53:00,delivered,55.0
DEL-000190,ORD-000190,CUR-0169,2.9,34,,,cancelled,
DEL-000191,ORD-000191,CUR-0004,1.8,32,2025-06-19 09:17:00,2025-06-19 09:45:00,delivered,28.0
DEL-000192,ORD-000192,CUR-0184,6.3,51,2025-09-23 13:47:00,2025-09-23 14:36:00,delivered,49.0
DEL-000193,ORD-000193,CUR-0118,1.4,34,2025-05-05 20:36:00,2025-05-05 21:08:00,delivered,32.0
DEL-000194,ORD-000194,CUR-0229,2.1,44,2025-12-25 09:38:00,2025-12-25 10:23:00,delivered,45.0
DEL-000195,ORD-000195,CUR-0075,8.8,63,2025-08-10 23:51:00,2025-08-11 00:58:00,delivered,67.0
DEL-000196,ORD-000196,CUR-0220,2.1,30,2025-06-22 19:35:00,2025-06-22 20:25:00,delivered,50.0
DEL-000197,ORD-000197,CUR-0049,3.6,43,2025-05-26 20:03:00,2025-05-26 20:50:00,delivered,47.0
DEL-000198,ORD-000198,CUR-0079,2.1,29,2025-04-15 19:13:00,2025-04-15 19:44:00,delivered,31.0
DEL-000199,ORD-000199,CUR-0110,2.9,38,2025-02-07 11:48:00,2025-02-07 12:26:00,delivered,38.0
DEL-000200,ORD-000200,CUR-0195,7.5,61,2025-11-25 18:44:00,2025-11-25 19:49:00,delivered,65.0
DEL-000201,ORD-000201,CUR-0058,9.5,66,2025-07-19 18:57:00,2025-07-19 20:09:00,delivered,72.0
DEL-000202,ORD-000202,CUR-0011,3.9,41,,,cancelled,
DEL-000203,ORD-000203,CUR-0017,3.0,46,2025-07-17 15:08:00,2025-07-17 15:53:00,delivered,45.0
DEL-000204,ORD-000204,CUR-0227,6.4,49,2024-10-09 19:07:00,2024-10-09 20:01:00,delivered,54.0
DEL-000205,ORD-000205,CUR-0200,3.3,40,2025-09-15 12:55:00,2025-09-15 13:35:00,delivered,40.0
DEL-000206,ORD-000206,CUR-0149,5.8,47,,,cancelled,
DEL-000207,ORD-000207,CUR-0173,7.5,70,,,cancelled,
DEL-000208,ORD-000208,CUR-0076,4.3,50,2025-09-19 12:02:00,2025-09-19 12:48:00,delivered,46.0
DEL-000209,ORD-000209,CUR-0022,2.5,37,2025-07-04 22:07:00,2025-07-04 22:45:00,delivered,38.0
DEL-000210,ORD-000210,CUR-0218,5.4,61,2025-06-23 12:33:00,2025-06-23 13:35:00,delivered,62.0
DEL-000211,ORD-000211,CUR-0018,4.7,55,2025-12-07 22:33:00,2025-12-07 23:35:00,delivered,62.0
DEL-000212,ORD-000212,CUR-0133,3.8,45,,,cancelled,
DEL-000213,ORD-000213,CUR-0043,3.9,39,2024-04-06 09:44:00,2024-04-06 10:29:00,delivered,45.0
DEL-000214,ORD-000214,CUR-0117,5.7,44,2024-05-21 13:35:00,2024-05-21 14:25:00,delivered,50.0
DEL-000215,ORD-000215,CUR-0009,6.3,53,2024-09-12 12:29:00,2024-09-12 13:23:00,delivered,54.0
DEL-000216,ORD-000216,CUR-0152,3.5,32,2025-11-18 19:02:00,2025-11-18 19:35:00,delivered,33.0
DEL-000217,ORD-000217,CUR-0006,5.1,44,2025-10-08 13:20:00,2025-10-08 14:20:00,delivered,60.0
DEL-000218,ORD-000218,CUR-0189,7.9,72,2025-05-09 11:47:00,2025-05-09 12:56:00,delivered,69.0
DEL-000219,ORD-000219,CUR-0021,2.2,43,2025-12-07 20:53:00,2025-12-07 21:43:00,delivered,50.0
DEL-000220,ORD-000220,CUR-0195,6.0,63,2025-12-07 16:23:00,2025-12-07 17:29:00,delivered,66.0
DEL-000221,ORD-000221,CUR-0175,3.5,33,2025-08-13 15:22:00,2025-08-13 15:54:00,delivered,32.0
DEL-000222,ORD-000222,CUR-0164,7.8,76,2024-12-08 15:15:00,2024-12-08 16:38:00,delivered,83.0
DEL-000223,ORD-000223,CUR-0213,3.4,39,,,delivered,36.0
DEL-000224,ORD-000224,CUR-0196,1.6,40,2024-08-20 20:57:00,2024-08-20 21:43:00,delivered,46.0
DEL-000225,ORD-000225,CUR-0048,1.2,36,2025-12-26 17:28:00,2025-12-26 18:02:00,delivered,34.0
DEL-000226,ORD-000226,CUR-0230,8.1,56,2024-09-24 19:34:00,2024-09-24 20:35:00,delivered,61.0
DEL-000227,ORD-000227,CUR-0131,8.4,70,2025-07-06 18:26:00,2025-07-06 20:12:00,delivered,106.0
DEL-000228,ORD-000228,CUR-0031,8.1,64,2025-12-15 12:25:00,2025-12-15 13:31:00,delivered,66.0
DEL-000229,ORD-000229,CUR-0024,5.6,59,2025-02-06 17:08:00,2025-02-06 18:09:00,delivered,61.0
DEL-000230,ORD-000230,CUR-0151,4.6,40,2025-05-31 10:31:00,2025-05-31 11:12:00,delivered,41.0
DEL-000231,ORD-000231,CUR-0061,3.1,33,2025-02-07 11:25:00,2025-02-07 12:03:00,delivered,38.0
DEL-000232,ORD-000232,CUR-0154,9.3,67,2025-05-02 19:00:00,2025-05-02 20:12:00,delivered,72.0
DEL-000233,ORD-000233,CUR-0007,6.7,52,2025-02-12 13:22:00,2025-02-12 14:16:00,delivered,54.0
DEL-000234,ORD-000234,CUR-0095,9.4,60,2025-03-20 22:00:00,2025-03-20 22:55:00,delivered,55.0
DEL-000235,ORD-000235,CUR-0191,2.8,38,2025-09-13 18:46:00,2025-09-13 19:27:00,delivered,41.0
DEL-000236,ORD-000236,CUR-0174,7.5,69,2025-12-15 23:46:00,2025-12-16 01:01:00,delivered,75.0
