payment_id,order_id,payment_method,payment_status,currency,food_amount,delivery_fee,total_amount
PAY-000126,ORD-000126,paypal,paid,EUR,9.68,3.99,13.67
PAY-000127,ORD-000127,apple_pay,paid,EUR,51.0,3.99,54.99
PAY-000128,ORD-000128,card,paid,EUR,43.44,0.0,43.44
PAY-000129,ORD-000129,card,paid,EUR,24.73,3.99,28.72
PAY-000130,ORD-000130,paypal,paid,EUR,13.26,3.99,17.25
PAY-000131,ORD-000131,card,paid,EUR,10.82,3.99,14.81
PAY-000132,ORD-000132,apple_pay,paid,EUR,48.11,3.99,52.1
PAY-000133,ORD-000133,card,paid,EUR,36.98,3.99,40.97
PAY-000134,ORD-000134,google_pay,paid,EUR,69.71,3.99,73.7
PAY-000135,ORD-000135,card,paid,EUR,43.26,0.0,43.26
PAY-000136,ORD-000136,apple_pay,paid,EUR,69.63,3.99,73.62
PAY-000137,ORD-000137,paypal,refunded,EUR,62.94,0.0,62.94
PAY-000138,ORD-000138,card,paid,EUR,56.28,3.99,60.27
PAY-000139,ORD-000139,card,paid,EUR,19.54,3.99,23.53
PAY-000140,ORD-000140,apple_pay,paid,EUR,18.71,3.99,22.7
PAY-000141,ORD-000141,paypal,paid,EUR,57.83,0.0,57.83
PAY-000142,ORD-000142,google_pay,paid,EUR,24.28,3.99,28.27
PAY-000143,ORD-000143,card,paid,EUR,54.47,3.99,58.46
PAY-000144,ORD-000144,card,paid,EUR,54.46,3.99,58.45
PAY-000145,ORD-000145,google_pay,paid,EUR,44.25,0.0,44.25
PAY-000146,ORD-000146,apple_pay,paid,EUR,40.08,3.99,44.07
PAY-000147,ORD-000147,paypal,paid,EUR,35.81,3.99,39.8
PAY-000148,ORD-000148,apple_pay,refunded,EUR,33.4,0.0,33.4
PAY-000149,ORD-000149,apple_pay,paid,EUR,18.14,3.99,22.13
PAY-000150,ORD-000150,apple_pay,paid,EUR,19.06,0.0,19.06
PAY-000151,ORD-000151,card,paid,EUR,50.09,3.99,54.08
PAY-000152,ORD-000152,google_pay,paid,EUR,66.73,0.0,66.73
PAY-000153,ORD-000153,card,paid,EUR,46.72,3.99,50.71
PAY-000154,ORD-000154,apple_pay,paid,EUR,47.02,3.99,51.01
PAY-000155,ORD-000155,google_pay,paid,EUR,32.71,3.99,36.7
PAY-000156,ORD-000156,paypal,paid,EUR,45.61,3.99,49.6
PAY-000157,ORD-000157,card,paid,EUR,65.15,3.99,69.14
PAY-000158,ORD-000158,paypal,paid,EUR,38.0,3.99,41.99
PAY-000159,ORD-000159,paypal,paid,EUR,43.45,3.99,47.44
PAY-000160,ORD-000160,paypal,paid,EUR,16.16,3.99,20.15
PAY-000161,ORD-000161,google_pay,paid,EUR,51.45,0.0,51.45
PAY-000162,ORD-000162,google_pay,paid,EUR,68.53,3.99,72.52
PAY-000163,ORD-000163,paypal,paid,EUR,66.4,3.99,70.39
PAY-000164,ORD-000164,apple_pay,paid,EUR,20.9,3.99,24.89
PAY-000165,ORD-000165,apple_pay,paid,EUR,54.8,3.99,58.79
PAY-000166,ORD-000166,google_pay,paid,EUR,29.73,3.99,33.72
PAY-000167,ORD-000167,card,paid,EUR,66.65,3.99,70.64
PAY-000168,ORD-000168,card,paid,EUR,42.03,3.99,46.02
PAY-000169,ORD-000169,apple_pay,paid,EUR,50.67,3.99,54.66
PAY-000170,ORD-000170,card,paid,EUR,32.14,3.99,36.13
PAY-000171,ORD-000171,apple_pay,paid,EUR,67.3,0.0,67.3
PAY-000172,ORD-000172,paypal,paid,EUR,25.27,3.99,29.26
PAY-000173,ORD-000173,paypal,paid,EUR,35.95,0.0,35.95
PAY-000174,ORD-000174,paypal,paid,EUR,34.03,0.0,34.03
PAY-000175,ORD-000175,apple_pay,paid,EUR,48.86,0.0,48.86
PAY-000176,ORD-000176,apple_pay,paid,EUR,46.31,3.99,50.3
PAY-000177,ORD-000177,apple_pay,paid,EUR,14.75,3.99,18.74
PAY-000178,ORD-000178,google_pay,paid,EUR,58.07,3.99,62.06
PAY-000179,ORD-000179,apple_pay,paid,EUR,45.17,0.0,45.17
PAY-000180,ORD-000180,apple_pay,paid,EUR,25.75,0.0,25.75
PAY-000181,ORD-000181,paypal,paid,EUR,13.08,1.49,14.57
PAY-000182,ORD-000182,paypal,paid,EUR,63.53,3.99,67.52
PAY-000183,ORD-000183,card,paid,EUR,32.85,3.99,36.84
PAY-000184,ORD-000184,google_pay,paid,EUR,59.86,3.99,63.85
PAY-000185,ORD-000185,paypal,paid,EUR,9.31,3.99,13.3
PAY-000186,ORD-000186,paypal,paid,EUR,23.45,0.0,23.45
PAY-000187,ORD-000187,card,paid,EUR,8.71,3.99,12.7
PAY-000188,ORD-000188,paypal,refunded,EUR,8.85,3.99,12.84
PAY-000189,ORD-000189,card,paid,EUR,44.83,3.99,48.82
PAY-000190,ORD-000190,google_pay,refunded,EUR,34.12,0.0,34.12
PAY-000191,ORD-000191,paypal,paid,EUR,53.31,0.0,53.31
PAY-000192,ORD-000192,google_pay,paid,EUR,46.8,3.99,50.79
PAY-000193,ORD-000193,apple_pay,paid,EUR,27.47,3.99,31.46
PAY-000194,ORD-000194,paypal,paid,EUR,20.56,3.99,24.55
PAY-000195,ORD-000195,paypal,paid,EUR,17.25,3.99,21.24
PAY-000196,ORD-000196,card,paid,EUR,15.5,0.0,15.5
PAY-000197,ORD-000197,card,paid,EUR,32.72,3.99,36.71
PAY-000198,ORD-000198,apple_pay,paid,EUR,20.7,3.99,24.69
PAY-000199,ORD-000199,paypal,paid,EUR,58.81,0.0,58.81
PAY-000200,ORD-000200,paypal,paid,EUR,55.96,3.99,59.95
PAY-000201,ORD-000201,paypal,paid,EUR,52.45,3.99,56.44
PAY-000202,ORD-000202,google_pay,refunded,EUR,22.11,3.99,26.1
PAY-000203,ORD-000203,apple_pay,paid,EUR,16.91,3.99,20.9
PAY-000204,ORD-000204,apple_pay,paid,EUR,24.06,3.99,28.05
PAY-000205,ORD-000205,google_pay,paid,EUR,12.43,3.99,16.42
PAY-000206,ORD-000206,paypal,refunded,EUR,60.68,0.0,60.68
PAY-000207,ORD-000207,card,refunded,EUR,42.48,3.99,46.47
PAY-000208,ORD-000208,apple_pay,paid,EUR,23.77,3.99,27.76
PAY-000209,ORD-000209,paypal,paid,EUR,41.6,3.99,45.59
PAY-000210,ORD-000210,paypal,paid,EUR,69.43,3.99,73.42
PAY-000211,ORD-000211,paypal,paid,EUR,21.31,3.99,25.3
PAY-000212,ORD-000212,apple_pay,refunded,EUR,15.87,0.0,15.87
PAY-000213,ORD-000213,google_pay,paid,EUR,34.35,0.0,34.35
PAY-000214,ORD-000214,google_pay,paid,EUR,15.41,3.99,19.4
PAY-000215,ORD-000215,card,paid,EUR,13.03,3.99,17.02
PAY-000216,ORD-000216,google_pay,paid,EUR,55.5,3.99,59.49
PAY-000217,ORD-000217,card,paid,EUR,20.2,3.99,24.19
PAY-000218,ORD-000218,paypal,paid,EUR,22.87,3.99,26.86
PAY-000219,ORD-000219,apple_pay,paid,EUR,35.66,3.99,39.65
PAY-000220,ORD-000220,paypal,paid,EUR,52.37,3.99,56.36
PAY-000221,ORD-000221,apple_pay,paid,EUR,13.0,1.49,14.49
PAY-000222,ORD-000222,apple_pay,paid,EUR,29.37,0.0,29.37
PAY-000223,ORD-000223,apple_pay,paid,EUR,59.18,3.99,63.17
PAY-000224,ORD-000224,paypal,paid,EUR,35.69,3.99,39.68
PAY-000225,ORD-000225,card,paid,EUR,37.64,3.99,41.63
PAY-000226,ORD-000226,google_pay,paid,EUR,62.14,3.99,66.13
PAY-000227,ORD-000227,apple_pay,paid,EUR,57.73,0.0,57.73
PAY-000228,ORD-000228,paypal,paid,EUR,18.25,0.0,18.25
PAY-000229,ORD-000229,google_pay,paid,EUR,48.77,0.0,48.77
PAY-000230,ORD-000230,paypal,paid,EUR,20.44,3.99,24.43
PAY-000231,ORD-000231,apple_pay,paid,EUR,38.48,3.99,42.47
PAY-000232,ORD-000232,paypal,paid,EUR,48.16,0.0,48.16
PAY-000233,ORD-000233,google_pay,paid,EUR,56.56,3.99,60.55
PAY-000234,ORD-000234,paypal,paid,EUR,60.07,3.99,64.06
PAY-000235,ORD-000235,card,paid,EUR,16.99,3.99,20.98
PAY-000236,ORD-000236,card,paid,EUR,54.61,3.99,58.6
PAY-000237,ORD-000237,card,paid,EUR,32.81,0.0,32.81
PAY-000238,ORD-000238,paypal,paid,EUR,59.51,3.99,63.5
PAY-000239,ORD-000239,google_pay,paid,EUR,8.12,1.49,9.61
PAY-000240,ORD-000240,google_pay,paid,EUR,38.23,3.99,42.22
PAY-000241,ORD-000241,google_pay,paid,EUR,54.29,3.99,58.28
PAY-000242,ORD-000242,apple_pay,paid,EUR,37.95,3.99,41.94
PAY-000243,ORD-000243,apple_pay,refunded,EUR,67.17,3.99,71.16
PAY-000244,ORD-000244,google_pay,paid,EUR,44.06,3.99,48.05
PAY-000245,ORD-000245,card,paid,EUR,64.1,3.99,68.09
PAY-000246,ORD-000246,apple_pay,paid,EUR,53.09,0.0,53.09
PAY-000247,ORD-000247,paypal,paid,EUR,37.0,3.99,40.99
PAY-000248,ORD-000248,apple_pay,paid,EUR,22.03,3.99,26.02
PAY-000249,ORD-000249,paypal,paid,EUR,69.74,3.99,73.73
PAY-000250,ORD-000250,card,paid,EUR,38.93,3.99,42.92
PAY-000251,ORD-000251,apple_pay,paid,EUR,19.43,3.99,23.42
PAY-000252,ORD-000252,card,paid,EUR,56.44,3.99,60.43
PAY-000253,ORD-000253,apple_pay,paid,EUR,28.24,3.99,32.23
PAY-000254,ORD-000254,google_pay,paid,EUR,50.1,3.99,54.09
PAY-000255,ORD-000255,card,paid,EUR,31.55,3.99,35.54
PAY-000256,ORD-000256,paypal,paid,EUR,67.02,3.99,71.01
PAY-000257,ORD-000257,card,refunded,EUR,36.73,3.99,40.72
PAY-000258,ORD-000258,card,paid,EUR,17.51,0.0,17.51
PAY-000259,ORD-000259,google_pay,paid,EUR,36.61,3.99,40.6
PAY-000260,ORD-000260,card,paid,EUR,17.59,3.99,21.58
PAY-000261,ORD-000261,apple_pay,refunded,EUR,62.52,3.99,66.51
PAY-000262,ORD-000262,apple_pay,paid,EUR,17.81,3.99,21.8
PAY-000263,ORD-000263,google_pay,paid,EUR,48.74,3.99,52.73
PAY-000264,ORD-000264,card,paid,EUR,28.32,3.99,32.31
PAY-000265,ORD-000265,paypal,paid,EUR,61.94,3.99,65.93
PAY-000266,ORD-000266,google_pay,paid,EUR,63.67,3.99,67.66
PAY-000267,ORD-000267,card,paid,EUR,17.38,0.0,17.38
PAY-000268,ORD-000268,card,refunded,EUR,37.51,0.0,37.51
PAY-000269,ORD-000269,google_pay,paid,EUR,11.95,3.99,15.94
PAY-000270,ORD-000270,apple_pay,paid,EUR,27.91,3.99,31.9
PAY-000271,ORD-000271,google_pay,paid,EUR,28.64,3.99,32.63
PAY-000272,ORD-000272,apple_pay,paid,EUR,36.19,3.99,40.18
PAY-000273,ORD-000273,apple_pay,paid,EUR,37.75,0.0,37.75
PAY-000274,ORD-000274,google_pay,paid,EUR,14.94,3.99,18.93
PAY-000275,ORD-000275,apple_pay,paid,EUR,36.1,3.99,40.09
PAY-000276,ORD-000276,apple_pay,paid,EUR,61.72,0.0,61.72
PAY-000277,ORD-000277,card,paid,EUR,50.88,0.0,50.88
PAY-000278,ORD-000278,google_pay,paid,EUR,56.7,0.0,56.7
PAY-000279,ORD-000279,google_pay,paid,EUR,66.85,3.99,70.84
PAY-000280,ORD-000280,google_pay,paid,EUR,38.27,0.0,38.27
PAY-000281,ORD-000281,card,paid,EUR,40.2,3.99,44.19
PAY-000282,ORD-000282,paypal,paid,EUR,22.57,3.99,26.56
PAY-000283,ORD-000283,paypal,paid,EUR,68.58,3.99,72.57
PAY-000284,ORD-000284,card,paid,EUR,21.58,0.0,21.58
PAY-000285,ORD-000285,card,paid,EUR,68.65,3.99,72.64
PAY-000286,ORD-000286,paypal,paid,EUR,42.72,0.0,42.72
PAY-000287,ORD-000287,google_pay,paid,EUR,26.76,3.99,30.75
PAY-000288,ORD-000288,card,paid,EUR,57.93,3.99,61.92
PAY-000289,ORD-000289,apple_pay,paid,EUR,56.32,0.0,56.32
PAY-000290,ORD-000290,card,paid,EUR,56.98,3.99,60.97
PAY-000291,ORD-000291,paypal,paid,EUR,69.54,3.99,73.53
PAY-000292,ORD-000292,paypal,paid,EUR,46.26,0.0,46.26
PAY-000293,ORD-000293,paypal,paid,EUR,11.4,3.99,15.39
PAY-000294,ORD-000294,card,paid,EUR,39.59,3.99,43.58
PAY-000295,ORD-000295,apple_pay,refunded,EUR,19.8,3.99,23.79
PAY-000296,ORD-000296,card,paid,EUR,24.71,3.99,28.7
PAY-000297,ORD-000297,paypal,paid,EUR,59.27,3.99,63.26
PAY-000298,ORD-000298,paypal,paid,EUR,35.34,0.0,35.34
PAY-000299,ORD-000299,apple_pay,paid,EUR,14.78,3.99,18.77
PAY-000300,ORD-000300,card,paid,EUR,57.35,3.99,61.34
PAY-000301,ORD-000301,apple_pay,refunded,EUR,57.27,0.0,57.27
PAY-000302,ORD-000302,card,paid,EUR,42.15,0.0,42.15
PAY-000303,ORD-000303,google_pay,paid,EUR,55.81,0.0,55.81
PAY-000304,ORD-000304,google_pay,paid,EUR,51.51,3.99,55.5
PAY-000305,ORD-000305,paypal,refunded,EUR,22.15,0.0,22.15
PAY-000306,ORD-000306,paypal,paid,EUR,47.81,3.99,51.8
PAY-000307,ORD-000307,google_pay,paid,EUR,62.24,3.99,66.23
PAY-000308,ORD-000308,paypal,paid,EUR,40.56,0.0,40.56
PAY-000309,ORD-000309,paypal,paid,EUR,64.25,3.99,68.24
PAY-000310,ORD-000310,google_pay,paid,EUR,62.72,3.99,66.71
PAY-000311,ORD-000311,card,paid,EUR,21.06,3.99,25.05
PAY-000312,ORD-000312,google_pay,paid,EUR,47.0,0.0,47.0
PAY-000313,ORD-000313,apple_pay,paid,EUR,19.07,3.99,23.06
PAY-000314,ORD-000314,google_pay,paid,EUR,66.98,3.99,70.97
PAY-000315,ORD-000315,paypal,paid,EUR,42.83,3.99,46.82
PAY-000316,ORD-000316,paypal,paid,EUR,64.28,3.99,68.27
PAY-000317,ORD-000317,google_pay,paid,EUR,41.66,0.0,41.66
PAY-000318,ORD-000318,apple_pay,paid,EUR,43.89,3.99,47.88
PAY-000319,ORD-000319,google_pay,paid,EUR,41.81,3.99,45.8
PAY-000320,ORD-000320,google_pay,paid,EUR,10.42,3.99,14.41
PAY-000321,ORD-000321,google_pay,paid,EUR,51.31,3.99,55.3
PAY-000322,ORD-000322,apple_pay,paid,EUR,60.5,3.99,64.49
PAY-000323,ORD-000323,apple_pay,paid,EUR,24.9,3.99,28.89
PAY-000324,ORD-000324,card,paid,EUR,44.37,0.0,44.37
PAY-000325,ORD-000325,card,paid,EUR,41.83,3.99,45.82
PAY-000326,ORD-000326,apple_pay,paid,EUR,10.62,3.99,14.61
PAY-000327,ORD-000327,paypal,paid,EUR,24.29,3.99,28.28
PAY-000328,ORD-000328,paypal,paid,EUR,35.3,3.99,39.29
PAY-000329,ORD-000329,google_pay,paid,EUR,28.02,3.99,32.01
PAY-000330,ORD-000330,card,paid,EUR,22.17,3.99,26.16
PAY-000331,ORD-000331,card,paid,EUR,69.5,0.0,69.5
PAY-000332,ORD-000332,paypal,paid,EUR,40.58,3.99,44.57
PAY-000333,ORD-000333,apple_pay,paid,EUR,28.92,0.0,28.92
PAY-000334,ORD-000334,paypal,paid,EUR,18.88,3.99,22.87
PAY-000335,ORD-000335,paypal,paid,EUR,9.02,3.99,13.01
PAY-000336,ORD-000336,google_pay,paid,EUR,47.72,3.99,51.71
PAY-000337,ORD-000337,paypal,paid,EUR,65.5,3.99,69.49
PAY-000338,ORD-000338,apple_pay,paid,EUR,38.06,3.99,42.05
PAY-000339,ORD-000339,apple_pay,paid,EUR,17.81,0.0,17.81
PAY-000340,ORD-000340,paypal,paid,EUR,60.24,3.99,64.23
PAY-000341,ORD-000341,paypal,paid,EUR,38.2,3.99,42.19
PAY-000342,ORD-000342,card,paid,EUR,22.97,3.99,26.96
PAY-000343,ORD-000343,paypal,paid,EUR,51.47,3.99,55.46
PAY-000344,ORD-000344,google_pay,paid,EUR,25.81,3.99,29.8
PAY-000345,ORD-000345,paypal,paid,EUR,31.79,3.99,35.78
PAY-000346,ORD-000346,google_pay,refunded,EUR,41.61,3.99,45.6
PAY-000347,ORD-000347,apple_pay,paid,EUR,36.64,0.0,36.64
PAY-000348,ORD-000348,google_pay,paid,EUR,57.27,3.99,61.26
PAY-000349,ORD-000349,google_pay,paid,EUR,16.17,3.99,20.16
PAY-000350,ORD-000350,apple_pay,paid,EUR,36.9,3.99,40.89
PAY-000351,ORD-000351,apple_pay,paid,EUR,33.26,0.0,33.26
PAY-000352,ORD-000352,apple_pay,paid,EUR,19.7,3.99,23.69
PAY-000353,ORD-000353,apple_pay,paid,EUR,67.06,0.0,67.06
PAY-000354,ORD-000354,google_pay,paid,EUR,47.58,3.99,51.57
PAY-000355,ORD-000355,card,paid,EUR,25.76,0.0,25.76
PAY-000356,ORD-000356,paypal,refunded,EUR,46.05,0.0,46.05
PAY-000357,ORD-000357,google_pay,paid,EUR,24.09,3.99,28.08
PAY-000358,ORD-000358,google_pay,paid,EUR,56.44,0.0,56.44
PAY-000359,ORD-000359,apple_pay,paid,EUR,13.82,3.99,17.81
PAY-000360,ORD-000360,google_pay,paid,EUR,54.91,0.0,54.91
PAY-000361,ORD-000361,paypal,paid,EUR,56.9,0.0,56.9
PAY-000362,ORD-000362,google_pay,paid,EUR,43.02,3.99,47.01
PAY-000363,ORD-000363,paypal,paid,EUR,37.78,3.99,41.77
PAY-000364,ORD-000364,card,paid,EUR,32.15,3.99,36.14
PAY-000365,ORD-000365,card,paid,EUR,28.19,0.0,28.19
PAY-000366,ORD-000366,card,paid,EUR,64.67,3.99,68.66
PAY-000367,ORD-000367,card,paid,EUR,13.29,1.49,14.78
PAY-000368,ORD-000368,google_pay,paid,EUR,9.45,3.99,13.44
PAY-000369,ORD-000369,google_pay,paid,EUR,60.68,3.99,64.67
PAY-000370,ORD-000370,card,paid,EUR,41.51,3.99,45.5
PAY-000371,ORD-000371,paypal,paid,EUR,69.5,0.0,69.5
PAY-000372,ORD-000372,paypal,paid,EUR,53.41,0.0,53.41
